benefactorClass,benefactorName,benefactorType,benefactorAddress,benefactorPostcode,benefactorCompanyNumber,recipientClass,recipientName,ecReference,type,value,referenceNumber,rate,status,amountRepaid,amountConverted,amountOutstanding,startDate,endDate,repaidDate,ecLastNotifiedDate,recordedBy
Organisation,HSBC,Company,PO Box 41,UB8 1BY,14259,Party,Conservative Party,Political Party,AL0036574,Loan,14600000,,base + 1.5%,Ended,14600000,,,1987-01-01,2008-11-30,2008-11-30,2005-10-10,Uxbridge
Organisation,Exeter Constitutional Trust,Unincorporated Association,c/o 3 The Maltings,EX17 1HT,,Party,Conservative Party,Political Party,AL0036609,Loan,1226000,,1%,Ended,1226000,,,1989-12-13,2007-05-14,2007-05-14,2005-10-10,Exeter
Organisation,Barclays Bank PLC,Company,High Street,,1026167,Party,Conservative Party,Political Party,AL0036345,Credit Facility,1000000,,Base + 2.5%,Outstanding,,,1000000,1990-01-01,,,2005-10-10,Huntingdon
Organisation,The Co-Operative Bank PLC,Company,PO Box 101,M60 4EP,990937,Party,Conservative Party,Political Party,AL0036332,Loan,2500000,,Variable,Outstanding,,,2500000,1991-09-20,2014-09-20,,2005-10-10,Romford
Organisation,Flairford Securities Ltd,Company,4th Floor Ashley House,WA14 2DW,6576055,Party,Conservative Party,Political Party,AS0036342,Authorised Participant Security,1000000,,Not specified,Ended,1000000,,,1991-12-24,,2011-11-25,2005-10-10,Mid Sussex
Organisation,Co-operative Bank,Company,PO Box 101,M60 4EP,990937,Party,Labour Party,Political Party,AL0036403,Loan,7500000,,Base + 2.5%,Ended,7500000,,,1992-06-03,2012-06-02,2012-06-02,2006-03-31,Islington South and Finsbury CLP
Individual,L Armstrong,Individual,,,,Party,Conservative Party,Political Party,AL0036340,Loan,340000,,Nil,Ended,340000,,,1994-01-01,,2006-12-01,2005-10-10,Stockton South
Individual,Richard Ellis,Individual,,,,Party,Liberal Democrats,Political Party,AL0036701,Loan,199000,,Nil,Ended,199000,,,1994-06-01,2007-06-01,2007-06-01,2006-04-30,Eastbourne
Individual,Alan Butler,Individual,,,,Party,Conservative Party,Political Party,AL0036337,Loan,400000,,Nil,Outstanding,,,400000,1996-04-01,,,2005-10-10,Twickenham
Individual,Lord Iliffe,Individual,,,,Party,Conservative Party,Political Party,AL0036604,Loan,1183800,,Nil,Ended,1183800,,,1996-01-01,2006-09-11,2006-09-11,2005-10-10,Newbury
